Date,Open,High,Low,Close,Adj Close,Volume
2016-04-01,533.000000,536.500000,528.500000,532.500000,516.979248,75410
2016-04-04,534.500000,536.224976,532.150024,534.650024,519.066589,70052
2016-04-05,534.000000,538.325012,527.625000,529.150024,513.726807,158490
2016-04-06,532.500000,533.400024,528.349976,530.750000,515.280212,87236
2016-04-07,535.000000,535.500000,523.599976,527.825012,512.440491,79930
2016-04-08,525.075012,531.575012,525.075012,529.400024,513.969543,278442
2016-04-11,529.950012,536.775024,521.500000,534.924988,519.333496,79966
2016-04-12,533.049988,535.625000,530.025024,532.000000,516.493774,867812
2016-04-13,540.000000,542.250000,535.424988,540.625000,524.867371,199622
2016-04-18,542.500000,546.099976,536.000000,544.150024,528.289734,108248
2016-04-20,544.150024,549.900024,542.174988,548.299988,532.318665,222452
2016-04-21,550.000000,552.450012,544.000000,545.525024,529.624573,117334
2016-04-22,549.375000,550.450012,542.825012,546.150024,530.231323,317046
2016-04-25,550.000000,550.000000,542.799988,546.000000,530.085754,88660
2016-04-26,546.025024,557.500000,546.000000,556.700012,540.473938,204548
2016-04-27,556.000000,562.500000,555.000000,562.174988,545.789307,176008
2016-04-28,564.000000,568.000000,552.500000,557.299988,541.056396,123258
2016-04-29,559.849976,568.000000,553.400024,566.724976,550.206604,292994
2016-05-02,565.000000,565.349976,557.500000,558.974976,542.682495,80644
2016-05-03,560.000000,569.000000,556.974976,558.724976,542.439880,289218
2016-05-04,557.500000,567.000000,556.849976,563.700012,547.269836,142298
2016-05-05,563.500000,567.500000,561.500000,566.474976,549.963867,86306
2016-05-06,567.000000,567.000000,559.400024,560.325012,543.993225,54424
2016-05-09,555.025024,572.400024,555.025024,570.924988,554.284180,111812
2016-05-10,567.500000,573.424988,567.500000,572.349976,555.667664,65398
2016-05-11,569.000000,572.724976,565.000000,569.000000,552.415344,74870
2016-05-12,570.650024,575.500000,566.500000,574.950012,558.191956,190980
2016-05-13,574.549988,574.549988,565.250000,570.075012,553.458984,458844
2016-05-16,571.599976,582.974976,566.424988,581.525024,564.575317,144496
2016-05-17,589.000000,589.000000,575.700012,576.799988,559.987976,92508
2016-05-18,576.974976,576.974976,566.125000,570.450012,553.823120,137698
2016-05-19,570.450012,570.750000,566.224976,568.474976,551.905640,77618
2016-05-20,568.575012,574.099976,568.075012,570.150024,553.531921,64234
2016-05-23,568.575012,574.599976,567.000000,568.549988,551.978394,67496
2016-05-24,567.650024,571.125000,567.650024,570.349976,553.726013,65204
2016-05-25,570.500000,587.750000,570.500000,586.299988,569.211060,139102
2016-05-26,589.450012,592.500000,583.025024,590.724976,573.507080,170548
2016-05-27,591.224976,594.825012,588.500000,593.674988,576.371094,251864
2016-05-30,594.974976,597.400024,589.025024,590.025024,572.827515,83584
2016-05-31,590.400024,592.099976,588.724976,590.674988,573.458496,213934
2016-06-01,590.500000,590.500000,585.900024,587.599976,570.473206,462376
2016-06-02,586.849976,590.000000,580.250000,587.625000,570.497437,861416
2016-06-03,588.000000,592.974976,584.950012,586.049988,568.968323,75986
2016-06-06,586.500000,591.000000,585.025024,585.500000,568.434448,168280
2016-06-07,587.500000,589.750000,584.000000,587.099976,569.987793,228856
2016-06-08,587.500000,589.174988,580.325012,581.200012,564.259766,228010
